user,url,komentar
fredoaquinaldo,https://www.instagram.com/fredoaquinaldo/,"Pdhal ga ngefek, ANEH BGT 😂"
anggorowicza,https://www.instagram.com/anggorowicza/,"Di comment malah banyak yang belain emang seminim itukah critical thinking nya? Kenapa seolah2 isu ini dinarasikan perseteruan antara tiktod dan pedagang tanah abang? Padahal kebijakan yg diambil pemerintah buat stop tiktodsyop bagus buat mencegah hancurnya UMKM di Indonesia. Ingat, 60% roda perekonomian kita digerakkan oleh UMKM, kalian bayangin aja daya rusaknya kayak apa kalo keputusan ini gak jadi diambil dan diterapkan segara."
bilal_ptria,https://www.instagram.com/bilal_ptria/,kurir tiktok shop : lu asik banget bang
vwxy.zen,https://www.instagram.com/vwxy.zen/,keranjang kuningnya nyangkut di transit DC cakung terus inimah
fillah.awns,https://www.instagram.com/fillah.awns/,yahh baru aja mo jual temen yg muka dua
perecehans,https://www.instagram.com/perecehans/,Gak bisa live jualan lagi kah?
muharafly07,https://www.instagram.com/muharafly07/,Si orange full senyum
dylanjan_,https://www.instagram.com/dylanjan_/,Bnyak UMKM” yg bergatung lewat tiktok shop pak!
evaazhae,https://www.instagram.com/evaazhae/,Yaudah lah biar kembali aja ke sesuai fungsi nya.. tiktok cukup buat entertaint aja. kalo mau belanja balik lg ke aplikasi marketplace
mfhryi,https://www.instagram.com/mfhryi/,baru mau jual temen yg suka pinjem seratus
andikahonda18,https://www.instagram.com/andikahonda18/,"Tolong dibedain social commerce sama e commerce ya🙏biar ga malu bacot"" gajelas tapi gapaham konteks...pake segala blg ""itu shopee tokped ga di tutup?"" Capek😂"
dika.arieff,https://www.instagram.com/dika.arieff/,Tim yang belum pernah beli apapun di tiktok shop☝
nengmia51,https://www.instagram.com/nengmia51/,Pdhl paling murah diantara yg lain... percayalah...
raudhahnasution,https://www.instagram.com/raudhahnasution/,pejuang affiliate be like : gwennchanaa
netizenserang,https://www.instagram.com/netizenserang/,Si oren & ijo full senyum gak sih? 🗿
stevansyoung,https://www.instagram.com/stevansyoung/,"Kebijakan yg aneh, padahal umkm juga banyak yg nasibnya ada disini"
farelagy,https://www.instagram.com/farelagy/,"gabakal mempengaruhi menurut gua, semua balik lagi ke umkm nya mau mengikuti perkembangan zaman atau nggak sekarang era digitalisasi apa apa pasti digital, cashless kalo umkm nya ga bisa ngikutin kedepan nya bakal susah"
edgarfatahillah,https://www.instagram.com/edgarfatahillah/,"kasian juga si, soalnya ada juga orang tua yang jualannya di tiktok"
beebil.jr,https://www.instagram.com/beebil.jr/,"ywdh promosi, ntar diarahin ke marketplace klo checkoutnya😂"
boycandra,https://www.instagram.com/boycandra/,😮
mojokertojalanjalan,https://www.instagram.com/mojokertojalanjalan/,"Ada yang terbantu banget, terutama anak-anak muda, ahhhh, entahlah, Pro Kontra pasti ada"
yosasugawa,https://www.instagram.com/yosasugawa/,"Banyak yang gak paham konteksnya 🥺 Toko oren/ijo itu E-commerce, titod itu Social Commerce. - E-commerce Kita beli karna butuh.- Kalau Social Commerce, kita gak butuh tiba tiba jadi pengen beli.Di atas itu salah satu contohnya saja, Social Commerce itu racun banget pokoknya."
wnda_fp,https://www.instagram.com/wnda_fp/,"Maaf, apa bener"" ngaruh buat kemajuan UMKM?"
gemynymay,https://www.instagram.com/gemynymay/,acusih tim sopi
jilbrave.official,https://www.instagram.com/jilbrave.official/,Semoga bisa lebih adil yaa dalam pengambilan keputusannya😢🙏🏻
ekapamitra,https://www.instagram.com/ekapamitra/,"Bravo pemerintah Indonesia. Melindungi ekonomi negara kita dalam jangka panjang dan tidak hanya memikirkan hal2 jangka pendek saja seperti yang pada di keluhkan orang2 disini. Banyak yang tidak tahu bahwa playbook (cara kerja) TikTok adalah membuat para UMKM ini jualan dulu di platform mereka lalu kemudia meniru yang barang2nya laku. Dari awal Statement CEO TikTok adalah utk memangkas rantai distribusi sehingga para produsen bisa jualan ke pembeli SECARA LANGSUNG. Jadi yang pasti akan di hilangkan adalah para reseller dan kemudian para produsen yang harga produksinya tidak kompetitif. Produsen yang barangnya laku, nanti tinggal di tiru dan di produksi massal di China sehingga nanti produsen lokal akan bangkrut juga krn ga bisa bersaing. Itu pola-pola yang sudah di lakukan di Tiktok tapi banyak yang ga sadar karena terbuai ""harga murah"""
ik.kz_,https://www.instagram.com/ik.kz_/,"just sharing with my pov, yg menurutku bisa jadi win win solution, sebenernya bisa aja tiktokshop digunakan di indonesia asalkan dia bikin aplikasi sendiri yg terpisah dari tiktok. kenapa begitu? awal masuk tiktok ke indonesia, izin tiktok itu aplikasi sosial media that's why tiktokshop ga kena pajak, kalaupun kena pajak sedikit karna ranahnya bkn di marketplace. kalau misal tiktok bikin aplikasi tiktokshop sendiri otomatis indonesia bisa kenakan pajak tinggi kepada barang asing yg masuk sehingga barang lokal ga kalah dgn barang luar"
heh.dinn,https://www.instagram.com/heh.dinn/,Bagus. Cukup e-commerce Aja kalo mau jualan online.
id2store,https://www.instagram.com/id2store/,"Pan pan pan, bagi gocap aman"
pakaianjadoel_,https://www.instagram.com/pakaianjadoel_/,"Hm mimin ngikutin aja deh, walaupun agak sedih juga kalo tiktokshop dittup tp percaya aja rezeki udh ada yg ngatur bisa dateng dari segala arah"
vvisma.jpg,https://www.instagram.com/vvisma.jpg/,untung barang yg gue beli udh dateng
junotrasacoklat,https://www.instagram.com/junotrasacoklat/,Gak bisa belanja lagi Lo Bun
dissaanesty,https://www.instagram.com/dissaanesty/,Anjer... terus gw live jualan dimana? 🥹
golom_97,https://www.instagram.com/golom_97/,"Yang aku lihat, yang komen nyolot banyakan yang gak paham akar permasalahan😂. Pada nyrocos aja. Nonton yt Raymon aja gih."
ryanarifm,https://www.instagram.com/ryanarifm/,"TikTok Shop harus dipisah dari TikTok karena pemerintah menganggap bahwa media sosial dan e-commerce tidak boleh menjalankan fungsinya secara bersamaan¹⁴. Hal ini bertujuan untuk mencegah ketidakadilan bagi para pedagang online lainnya, mengendalikan algoritma yang dikuasai oleh social e-commerce, dan melindungi data pribadi pengguna⁴.Dampak dari pemisahan ini adalah bahwa TikTok Shop hanya boleh memfasilitasi promosi barang atau jasa, tetapi tidak boleh melakukan transaksi atau pembayaran langsung di platform media sosial⁴. Ini berarti bahwa TikTok Shop harus mengarahkan pembeli ke platform e-commerce lainnya atau menggunakan metode pembayaran lain yang terpisah dari TikTok. Dampak ini bisa berpengaruh pada kenyamanan, kepercayaan, dan loyalitas pelanggan TikTok Shop.Selain itu, dampak lainnya adalah bahwa TikTok Shop harus menyesuaikan diri dengan peraturan e-commerce yang ada di Indonesia, seperti mendaftarkan diri sebagai Penyelenggara Sistem Elektronik (PSE), memiliki izin usaha, membayar pajak, dan memberikan perlindungan konsumen¹⁴. Dampak ini bisa menimbulkan biaya tambahan, kewajiban hukum, dan tanggung jawab sosial bagi TikTok Shop.Dampak terakhir adalah bahwa TikTok Shop bisa kehilangan pangsa pasar dan pendapatan jika tidak bisa bersaing dengan platform e-commerce lainnya yang sudah lebih mapan dan memiliki basis pelanggan yang lebih besar. Dampak ini bisa mengancam kelangsungan usaha dan pertumbuhan TikTok Shop di Indonesia.Sumber: Percakapan dengan Bing, 26/9/2023(1) TikTok dan TikTok Shop Bakal Dipisahkan? Ini Kata Kemendag. https://www.liputan6.com/bisnis/read/5406821/tiktok-dan-tiktok-shop-bakal-dipisahkan-ini-kata-kemendag.(2) Soal TikTok Shop, Pemerintah Resmi Larang ""Social E-commerce .... https://nasional.kompas.com/read/2023/09/25/14540441/soal-tiktok-shop-pemerintah-resmi-larang-social-e-commerce-bertransaksi.(3) Pengamat Kritik Usul Jokowi soal Tiktok Shop Dipisah dari Medsos. https://www.msn.com/id-id/news/other/pengamat-kritik-usul-jokowi-soal-tiktok-shop-dipisah-dari-medsos/ar-AA1haUgZ.(4) Seller dan Content Creator Keberatan TikTok Shop Dipisah. https://www.idntimes.com/business/economy/triyan-pangastuti/seller-dan-content"
erikalyonesse,https://www.instagram.com/erikalyonesse/,"Ini bukan cuma jualan di tanah Abang aja yang sepi, nyokap gue juga usaha dan jualan kayak di pameran2 seperti inacraft, Kriyanusa, Gelar Batik Nusantara, kreasi bhayangkari Nusantara dll. Yang harga booth nya puluhan juta juga sama aja. Emang daya beli sekarang gabagus kok. Mau online Juga sama, gausa teriak2 yang paling susah semua ada derita nya masing masing. Pantek kali ribut muluk"
geby_yuandita,https://www.instagram.com/geby_yuandita/,Alhamdulillah teman-temanku biar bisa hemat🙏🏻
xtrememerch,https://www.instagram.com/xtrememerch/,Ga masalah tiktoknya. Tapi predatory pricing mereka. Bakar2 duit. Diskon gila2an. Bayangin aja harga ecernya bisa sampe lebih murah dari harga grosir
aurelliafsp,https://www.instagram.com/aurelliafsp/,pupusno harapanmu yg bnyk gratong itu
rama_sttar,https://www.instagram.com/rama_sttar/,Harus nya sistem kita negara kita sendiri mefilter barang yang di jual itu barang lokal atau barang luar kalau barang lokal kan makin baik ekonomi negaranya
rustickingdom,https://www.instagram.com/rustickingdom/,"Aku biarpun seller tapi juga setuju demi kebaikan ketahanan ekonomi dan UMKM bersama . Bukan sesederhana soal social commerce dan e-commerce  yg berada dlm satu platform tiktok aja yg bisa memanipulasi purchase funnel sih, tp titik beratnya justru pada rantai distribusi yg putus akibat banyak perusahaan besar yg berubah distribusinya jadi B to C. Otomatis org menengah ke bawah yg di Indonesia byk bgt kerja di sektor itu yg kena efek domino secara makro. Daya beli melemah maka semua sektor bakal kena imbasnya bahkan termasuk bidang2 di luar perdagangan dan urusan pangan. Memang sih sepintas harga murah itu bagus buat konsumen tp adanya praktek monopolinya yg justru menghancurkan ekonomi menengah ke bawah dlm jangka waktu ke depannya. Semoga bnr2 direalisasikan peraturan ini."
rizkiivhadhank,https://www.instagram.com/rizkiivhadhank/,"Agar hubungan tidak buyarr , pinjam dulu satu milyar"
cicijenner214,https://www.instagram.com/cicijenner214/,"Tolong bedain ya, bukan UMKM tidak maju. Saya dan Kakak saya pernah bisni baju lokal, sudah promote ini itu faktanya kalah sama produk luar, terutama China. Ditambah lagi produsen ikut jualan dengan harga banting jauh parah. Terus distributor nasibnya gimana? 😂 FYP tiktok itu jahat ya, dia lebih merekomendasikan produk luar dan produk besar. Bisa mati lama-lama ekonomi Indonesia karena rantai jual belinya yang berantakan, tidak akan terjadi perputaran ekonomi lagi."
idham.sep,https://www.instagram.com/idham.sep/,Setuju karena tiktok bukan e-commerce
ardifbrn,https://www.instagram.com/ardifbrn/,"Yang bilang 'ga cuma tanah abang sepi, tetep aja masih ada shopee, dll, masyarakat Indonesia yg susah diajak maju' TOLONG BACA BERITA LENGKAPNYA DAN Baca The reason why pemerintah melarang itu, dan berkomentarlah setelah baca datanya bukan cuma baca judul di terus komen berdasarkan perasaan, toloong"
zikrazafa,https://www.instagram.com/zikrazafa/,kembalikan kejayaan tanah abang
saefulumamm,https://www.instagram.com/saefulumamm/,"Semua org jualan juga lagi pada sepi. Yang harus ditutup itu sebenernya judi online, karena uang kebanyakan larinya ke bandar."
ik.kz_,https://www.instagram.com/ik.kz_/,"guys ini kasusnya bukn masalah pedagang lain yg ga mengikuti perkembangan, klo karna kasus pedagang2 lain ga ngikutin era digitalisasi pasti shopee/lazada/tokped/dll juga dilarang tapi ini kan engga. terus kenapa tiktok dilarang? karna tiktok itu sosial media yg memiliki algoritmanya tersendiri, ketika algoritma tiktok di set agar lebih menguntungkan produk2 china yg lebih murah dari umkm kita, umkm kita bisa mati dan pasti berdampak pada ekonomi kita jg dalam kata lain kita bisa dijajah oleh digitalisasi china. that's why langkah ini jadi antisipasi sblm hal tsb semakin menjadi"
rszydmz_,https://www.instagram.com/rszydmz_/,"Jumlah pedagang di tiktok shop lebih banyak dri pedagang di tanah abang, ada berpa puluh atau bahkan brpa jta org yg hrs stop berjualan di tiktok shop, sebagai penjual di tiktok shop hrsnya bisa demo balik pemerintah, zaman sudah berkembang degn pesat, tapi masyrakat kita smdiri yg gk mau berkembang, malah nyalahin teknologi"
_naufalhanif4,https://www.instagram.com/_naufalhanif4/,Aih den puyeng
nita_najella,https://www.instagram.com/nita_najella/,"Saya setuju banget sama pemerintah Indonesia TikTok shop di hapus , kasihan sama orang ² berjualan di toko kecil sedang toko² kecil pendapatnya menurun, sedangkan artis dll penghasilan ada yang omset 25 M"
maylizaadelittaa,https://www.instagram.com/maylizaadelittaa/,Memangnya penjual cm di tanah abang ?? Bayangin coba berapa banyak org yg teebantu karna ada tiktok
farhaneinsten,https://www.instagram.com/farhaneinsten/,Lah itu fb ada marketplace? Mana jualan musang ama kandang😂
